--- FIELDS ---
Field: item | Group: null | Note: null
Field: role | Group: null | Note: null
Field: password | Group: null | Note: $t:shared_leave_blank_for_passwordless_access
Field: user_created | Group: null | Note: null
Field: date_created | Group: null | Note: null
Field: date_start | Group: null | Note: $t:shared_leave_blank_for_unlimited
Field: date_end | Group: null | Note: $t:shared_leave_blank_for_unlimited
Field: times_used | Group: null | Note: null
Field: max_uses | Group: null | Note: $t:shared_leave_blank_for_unlimited
Field: id | Group: null | Note: null
Field: key | Group: null | Note: null
Field: name | Group: null | Note: null
Field: collection | Group: null | Note: null
Field: item | Group: null | Note: null
Field: hash | Group: null | Note: null
Field: date_created | Group: null | Note: null
Field: date_updated | Group: null | Note: null
Field: user_created | Group: null | Note: null
Field: user_updated | Group: null | Note: null
Field: id | Group: null | Note: null
Field: activity | Group: null | Note: null
Field: collection | Group: null | Note: null
Field: item | Group: null | Note: null
Field: data | Group: null | Note: null
Field: delta | Group: null | Note: null
Field: parent | Group: null | Note: null
Field: version | Group: null | Note: null
Field: id | Group: null | Note: null
Field: first_name | Group: null | Note: null
Field: last_name | Group: null | Note: null
Field: email | Group: null | Note: null
Field: password | Group: null | Note: null
Field: location | Group: null | Note: null
Field: title | Group: null | Note: null
Field: description | Group: null | Note: null
Field: tags | Group: null | Note: null
Field: avatar | Group: null | Note: null
Field: language | Group: null | Note: null
Field: tfa_secret | Group: null | Note: null
Field: status | Group: null | Note: null
Field: role | Group: null | Note: null
Field: token | Group: null | Note: null
Field: last_access | Group: null | Note: null
Field: last_page | Group: null | Note: null
Field: provider | Group: null | Note: null
Field: external_identifier | Group: null | Note: null
Field: auth_data | Group: null | Note: null
Field: email_notifications | Group: null | Note: null
Field: appearance | Group: null | Note: null
Field: theme_dark | Group: null | Note: null
Field: theme_light | Group: null | Note: null
Field: theme_light_overrides | Group: null | Note: null
Field: theme_dark_overrides | Group: null | Note: null
Field: id | Group: null | Note: null
Field: project_name | Group: null | Note: null
Field: project_url | Group: null | Note: null
Field: project_color | Group: theming_group | Note: $t:field_options.directus_settings.project_color_note
Field: project_logo | Group: theming_group | Note: $t:field_options.directus_settings.project_logo_note
Field: public_foreground | Group: theming_group | Note: null
Field: public_background | Group: theming_group | Note: null
Field: public_note | Group: theming_group | Note: null
Field: auth_login_attempts | Group: null | Note: null
Field: auth_password_policy | Group: null | Note: null
Field: storage_asset_transform | Group: null | Note: null
Field: storage_asset_presets | Group: null | Note: null
Field: custom_css | Group: theming_group | Note: null
Field: storage_default_folder | Group: null | Note: $t:interfaces.system-folder.field_hint
Field: basemaps | Group: null | Note: null
Field: mapbox_key | Group: null | Note: null
Field: module_bar | Group: null | Note: null
Field: project_descriptor | Group: null | Note: null
Field: default_language | Group: null | Note: null
Field: custom_aspect_ratios | Group: null | Note: null
Field: public_favicon | Group: theming_group | Note: $t:field_options.directus_settings.project_favicon_note
Field: default_appearance | Group: theming_group | Note: null
Field: default_theme_light | Group: theming_group | Note: null
Field: theme_light_overrides | Group: theming_group | Note: null
Field: default_theme_dark | Group: theming_group | Note: null
Field: theme_dark_overrides | Group: theming_group | Note: null
Field: folder | Group: null | Note: null
Field: enabled | Group: null | Note: null
Field: id | Group: null | Note: null
Field: source | Group: null | Note: null
Field: bundle | Group: null | Note: null
Field: id | Group: null | Note: null
Field: site_name | Group: null | Note: Official brand name (e.g. Spead AI)
Field: site_tagline | Group: null | Note: Short catchphrase
Field: brand_color_primary | Group: null | Note: HEX code override
Field: seo_title_template | Group: null | Note: e.g. '%s | Spead AI'
Field: seo_description_default | Group: null | Note: Fallback meta description
Field: og_image_default | Group: null | Note: Default social sharing image
Field: knowledge_graph_json | Group: null | Note: About data optimized for LLM indexing.
Field: organization_schema_json | Group: null | Note: Schema.org JSON-LD.
Field: contact_email | Group: null | Note: null
Field: support_email | Group: null | Note: null
Field: business_address | Group: null | Note: Address for Local SEO
Field: copyright_text | Group: null | Note: e.g. '© 2025 Spead AI Inc.'
Field: google_analytics_id | Group: null | Note: G-XXXXXXXX
Field: custom_head_scripts | Group: null | Note: Hooks into <head>
Field: custom_body_scripts | Group: null | Note: Hooks into end of <body>
Field: seo_keywords | Group: null | Note: Press Enter to add tags
Field: social_linkedin | Group: null | Note: linkedin URL
Field: social_twitter | Group: null | Note: twitter URL
Field: social_instagram | Group: null | Note: instagram URL
Field: social_github | Group: null | Note: github URL
Field: social_tiktok | Group: null | Note: tiktok URL
Field: site_description | Group: null | Note: null
Field: contact_phone | Group: null | Note: null
Field: contact_address | Group: null | Note: null
Field: logo_light | Group: branding_assets | Note: Upload or Select Image
Field: logo_dark | Group: branding_assets | Note: Upload or Select Image
Field: favicon | Group: branding_assets | Note: Upload or Select Image
Field: og_image | Group: branding_assets | Note: Upload or Select Image
Field: divider_brand | Group: null | Note: null
Field: divider_seo | Group: null | Note: null
Field: divider_contact | Group: null | Note: null
Field: divider_tech | Group: null | Note: null
Field: divider_social | Group: null | Note: null
Field: branding_assets | Group: null | Note: null
Field: revisions | Group: null | Note: null
Field: collection_divider | Group: null | Note: null
Field: preview_divider | Group: null | Note: null
